ram,ssd,weight,screen,price
4,512,2.1,13.3,975
8,512,2.0,10.1,860
12,2048,2.0,12.1,2060
64,2048,2.5,13.3,3385
8,128,1.7,12.5,800
64,128,2.5,13.4,2170
64,1024,2.8,13.3,2800
64,128,2.7,13.3,1960
8,128,1.5,11.6,750
16,256,1.9,13.4,920
4,64,1.8,16.0,935
4,128,1.4,10.1,655
32,2048,2.3,17.3,3065
64,512,2.7,11.6,1920
8,64,2.2,13.3,780
16,2048,2.4,16.0,2240
8,128,1.7,16.0,1030
32,64,2.0,12.5,1285
32,128,1.8,12.1,1605
16,512,2.4,15.6,1185
32,1024,2.7,17.3,2710
8,2048,2.7,15.6,1995
12,1024,1.9,13.3,1365
64,1024,2.3,12.5,2885
64,64,2.6,11.6,2085
8,2048,2.0,14.0,2105
64,1024,2.4,11.6,2805
64,2048,2.5,13.4,3330
4,1024,1.8,10.1,1255
64,1024,2.8,12.1,2880
64,2048,2.8,16.0,3615
8,2048,2.6,13.4,2010
64,128,2.5,12.1,2145
16,64,1.9,10.1,885
4,1024,1.7,11.6,1460
32,2048,2.4,14.0,2715
4,512,2.1,10.1,835
64,64,2.6,14.0,1895
8,64,1.9,11.6,685
64,128,2.2,10.1,1710
4,2048,2.2,10.1,1735
64,64,2.4,16.0,1970
8,1024,2.4,15.6,1490
12,256,1.9,15.6,935
64,128,2.1,11.6,1865
16,256,2.2,11.6,985
4,2048,2.6,16.0,1990
64,512,2.6,10.1,1880
8,2048,1.9,13.4,1900
32,128,2.1,12.5,1415
16,64,2.1,13.3,920
12,128,2.1,11.6,825
64,1024,2.8,10.1,2515
32,256,2.0,14.0,1495
8,64,1.5,10.1,745
8,64,1.7,17.3,1025
16,2048,2.5,17.3,2430
32,1024,2.0,10.1,2210
12,128,2.3,14.0,925
32,64,1.9,12.5,1300
4,64,1.6,13.3,650
4,128,1.7,11.6,770
64,256,2.9,15.6,2045
12,64,2.0,12.5,730
12,2048,2.5,17.3,2540
32,128,2.3,14.0,1680
32,512,2.6,15.6,1680
4,1024,2.3,12.1,1225
12,512,2.1,10.1,975
16,512,1.8,12.1,1025
4,2048,2.5,16.0,2190
8,128,1.9,16.0,1050
32,2048,2.6,12.1,2530
16,512,1.9,12.1,1160
4,1024,2.2,13.3,1560
4,1024,2.3,12.5,1520
12,128,2.1,11.6,745
8,512,2.1,11.6,1055
8,512,1.9,13.4,955
4,64,1.7,12.1,670
64,512,2.5,14.0,2380
16,1024,2.2,17.3,1655
64,1024,2.4,16.0,3005
4,256,2.3,17.3,1015
16,256,1.8,16.0,1245
32,512,2.4,16.0,2020
64,512,2.4,13.4,1965
4,128,2.3,16.0,885
64,2048,2.6,13.3,3080
8,128,2.0,14.0,915
16,2048,2.6,16.0,2345
64,256,2.3,11.6,2210
4,64,2.2,15.6,815
64,64,2.3,15.6,2020
12,128,2.3,14.0,870
12,1024,2.6,15.6,1645
8,64,1.7,10.1,670
64,64,2.2,15.6,2235
16,256,2.3,15.6,1105
8,1024,2.1,10.1,1445
32,512,2.3,11.6,1435
32,2048,2.6,12.5,2795
64,64,2.8,17.3,2080
12,256,1.9,11.6,975
64,512,2.2,12.1,2140
12,512,1.9,10.1,930
4,512,2.1,16.0,1095
4,512,2.3,15.6,955
64,1024,2.5,17.3,3165
12,1024,2.1,16.0,1855
8,64,2.2,13.4,720
16,256,1.8,12.5,870
32,2048,2.5,14.0,2880
4,512,2.2,14.0,940
4,512,2.4,16.0,1235
32,2048,2.2,13.3,2765
64,128,2.4,12.1,2110
32,512,2.7,16.0,1985
16,512,1.9,10.1,1115
32,512,2.2,13.4,1880
4,1024,2.0,13.3,1555
16,512,2.1,16.0,1480
4,1024,1.5,10.1,1330
32,512,2.3,14.0,1785
32,512,1.7,10.1,1575
64,512,2.4,14.0,2275
32,2048,2.1,10.1,2795
8,128,2.1,12.1,820
4,2048,2.1,11.6,1765
32,64,2.5,14.0,1510
64,256,2.4,13.4,1825
32,512,1.9,12.1,1510
16,1024,2.4,17.3,2010
4,2048,2.1,14.0,2055
12,64,1.7,12.5,735
12,1024,2.2,16.0,1855
12,256,1.9,12.1,845
32,64,2.2,14.0,1480
16,256,1.9,12.1,1030
8,1024,2.0,13.4,1305
12,512,1.9,14.0,1045
32,2048,2.2,12.1,2525
12,1024,2.5,13.3,1355
8,128,1.4,12.5,755
64,2048,2.7,12.5,2925
8,1024,2.5,17.3,1855
8,256,1.9,12.1,745
32,64,2.3,14.0,1400
8,1024,1.9,13.4,1645
64,1024,2.6,16.0,2700
8,2048,2.2,12.5,2090
12,128,1.6,10.1,720
4,512,1.8,11.6,905
16,128,1.5,12.1,960
12,512,1.9,13.3,1120
32,1024,2.3,13.3,2400
4,256,1.6,11.6,740
32,256,2.2,13.4,1480
12,512,2.1,16.0,1310
32,128,2.2,14.0,1340
8,128,1.8,11.6,830
8,2048,2.1,16.0,2330
16,256,2.3,16.0,1205
32,1024,2.0,13.4,1980
64,512,2.2,11.6,1945
12,2048,2.4,15.6,2035
32,2048,2.1,10.1,2405
8,128,1.6,13.4,730
32,512,2.6,14.0,1565
8,128,2.1,17.3,960
32,512,2.0,16.0,1960
4,256,1.9,13.4,860
8,64,1.7,12.1,810
16,128,1.9,13.4,990
32,256,1.8,14.0,1625
12,2048,1.9,12.1,1925
8,512,2.1,10.1,955
4,256,2.2,17.3,980
64,512,2.9,14.0,2325
32,1024,2.3,12.1,2335
64,256,2.4,12.5,2030
64,1024,2.4,13.3,2615
64,128,2.9,16.0,2225
4,256,1.9,11.6,695
12,1024,2.2,13.3,1605
16,512,2.4,13.3,1215
4,512,1.7,14.0,1055
8,2048,2.7,17.3,2220
32,256,2.0,11.6,1365
8,256,2.1,12.5,915
8,256,1.9,14.0,805
32,64,2.3,14.0,1615
32,2048,2.5,17.3,3195
8,256,1.7,12.5,750
64,128,2.4,16.0,2300
8,256,2.1,12.1,745
16,256,2.1,14.0,1010
4,512,2.0,13.4,1010
64,512,2.7,15.6,2435
12,256,2.1,13.4,1005
16,256,2.5,17.3,1250
8,256,1.8,17.3,1030
4,64,2.0,12.5,655
12,1024,2.6,15.6,1530
12,64,1.7,11.6,770
4,128,2.0,15.6,720
4,64,1.7,10.1,560
8,512,2.2,15.6,1015
12,64,2.4,17.3,980
8,512,2.1,15.6,965
16,256,2.1,13.4,950
32,512,2.3,11.6,1515
64,128,2.8,12.5,1850
12,128,1.5,12.5,760
32,128,2.6,17.3,1650
8,64,2.3,13.4,780
16,256,2.0,14.0,1070
32,512,2.0,13.4,1845
4,512,2.1,14.0,860
12,256,1.7,13.3,830
12,64,1.6,13.4,840
4,128,1.5,12.1,720
12,64,2.2,16.0,1170
12,1024,2.3,13.3,1660
32,512,1.9,12.1,1630
12,2048,2.1,17.3,2365
12,512,2.5,16.0,1245
16,256,2.1,12.1,1035
8,2048,2.0,13.3,2235
4,2048,2.4,13.4,1880
16,256,2.0,14.0,1085
16,2048,2.6,16.0,2150
32,512,2.3,16.0,2090
12,64,1.7,10.1,700
8,256,1.8,12.5,840
12,128,1.8,10.1,825
8,1024,1.7,10.1,1410
16,128,2.1,10.1,780
12,512,2.3,12.1,920
8,64,1.5,10.1,645
32,2048,2.6,17.3,3010
12,64,1.6,12.5,740
16,128,1.7,12.1,865
12,1024,1.9,12.5,1430
8,1024,2.2,16.0,1860
16,512,2.5,15.6,1190
8,2048,1.9,10.1,1790
12,512,1.9,13.3,950
4,256,1.9,11.6,685
4,64,1.4,12.5,670
4,2048,1.9,13.3,1850
32,1024,2.2,15.6,2475
8,2048,2.3,13.4,1865
4,1024,1.5,11.6,1290
32,2048,2.5,14.0,2420
32,1024,2.9,17.3,2700
4,128,1.6,13.4,705
32,512,2.1,17.3,2035
4,2048,2.1,13.3,1940
4,256,1.7,12.1,715
4,1024,1.8,12.1,1415
16,64,2.3,13.3,800
4,1024,2.0,15.6,1630
32,2048,2.8,12.1,2595
16,256,1.5,11.6,920
8,2048,2.3,11.6,2110
8,1024,1.5,10.1,1415
32,64,2.4,17.3,1595
16,2048,2.1,13.3,2230
64,2048,2.5,10.1,2845
4,512,1.6,14.0,1035
64,1024,2.7,12.5,2605
64,1024,2.7,15.6,2520
32,256,2.0,14.0,1670
64,2048,2.6,13.4,3515
32,256,2.0,13.3,1455
16,2048,2.1,14.0,1940
4,128,1.4,10.1,615
12,512,2.4,14.0,955
4,1024,1.6,10.1,1415
8,64,2.0,14.0,715
64,1024,2.7,15.6,2860
16,128,2.0,16.0,1160
64,256,2.4,14.0,1885
64,512,2.6,11.6,1940
64,1024,2.2,10.1,2445
12,64,1.7,12.5,720
4,64,1.9,15.6,845
12,128,2.0,16.0,1220
8,1024,1.9,10.1,1295
16,64,2.1,11.6,890
12,256,2.4,15.6,1060
32,512,2.5,15.6,1540
12,64,1.6,10.1,785
32,128,2.5,13.3,1370
12,1024,2.6,17.3,1945
12,256,1.9,10.1,775
16,64,1.6,12.1,810
4,1024,1.9,12.5,1510
12,1024,1.9,11.6,1445
32,64,2.1,13.4,1595
16,2048,2.3,12.1,2145
12,64,1.9,10.1,675
16,2048,2.4,11.6,1860
8,256,1.5,10.1,690
16,256,1.8,15.6,985
12,128,1.9,13.4,765
64,64,2.4,17.3,2410
32,128,2.4,11.6,1305
12,1024,2.1,17.3,1955
16,512,2.1,11.6,980
8,128,1.7,10.1,740
64,256,2.3,16.0,2095
32,256,2.0,13.3,1495
4,2048,2.5,13.4,2060
64,512,2.6,12.1,1875
4,128,2.2,16.0,875
8,512,2.2,17.3,1360
32,1024,2.5,10.1,2150
12,64,2.0,12.1,815
12,256,2.2,15.6,1025
8,512,1.6,12.5,935
32,512,2.0,17.3,1720
4,2048,2.5,13.4,1755
32,64,2.0,13.4,1325
8,1024,2.5,16.0,1670
32,256,2.5,13.3,1635
16,256,1.4,10.1,945
12,2048,2.7,16.0,2215
32,1024,2.5,15.6,2165
16,2048,2.7,15.6,2410
8,256,1.4,10.1,735
8,512,2.2,13.4,1105
12,64,2.2,16.0,1010
12,2048,2.4,11.6,1885
32,64,2.0,15.6,1690
64,128,2.6,11.6,1800
8,1024,2.1,11.6,1420
16,1024,1.7,11.6,1350
8,512,1.7,11.6,890
8,1024,2.3,12.1,1555
8,512,2.5,16.0,1270
32,256,2.0,13.3,1460
32,256,2.4,13.3,1655
8,2048,2.4,11.6,1960
16,256,2.3,12.1,960
8,2048,2.3,15.6,1905
12,1024,1.9,15.6,1480
12,2048,2.0,10.1,2160
4,128,1.6,16.0,955
12,512,1.6,12.1,1040
4,64,1.8,14.0,685
12,256,1.9,13.3,1040
4,64,2.1,15.6,725
8,512,1.9,13.3,1065
32,256,2.0,17.3,1785
16,64,1.7,14.0,900
8,2048,1.9,12.5,2110
32,128,2.0,16.0,1915
12,256,1.9,16.0,1180
32,1024,2.8,17.3,2165
8,128,1.9,11.6,685
4,512,2.0,12.5,865
4,512,2.0,14.0,1025
12,64,1.8,17.3,1020
4,256,1.9,17.3,1080
32,512,2.6,16.0,1705
64,64,2.4,12.1,1810
32,2048,2.2,12.1,2620
64,2048,2.9,17.3,3345
64,1024,3.0,14.0,2795
12,256,1.8,12.5,985
64,64,2.2,11.6,1895
64,256,2.2,12.1,1865
32,1024,1.9,10.1,2020
32,512,2.3,11.6,1485
64,2048,2.4,11.6,3150
12,2048,2.7,13.3,1990
12,64,2.5,17.3,975
8,512,2.1,13.3,920
12,64,2.2,12.1,770
64,512,2.1,10.1,1995
16,128,2.5,16.0,1265
32,64,2.5,15.6,1680
4,512,1.9,17.3,1170
8,512,1.8,13.3,1120
64,1024,2.6,11.6,2495
12,256,1.7,12.5,885
12,1024,2.0,13.3,1670
8,2048,2.1,12.5,1905
8,64,2.1,16.0,885
64,64,2.6,10.1,1690
12,256,2.0,15.6,955
32,512,2.3,15.6,1705
12,1024,2.4,13.4,1405
12,512,2.4,14.0,1175
8,256,2.3,15.6,950
12,64,2.0,10.1,760
32,128,2.6,17.3,1755
12,64,2.2,14.0,855
12,2048,2.4,15.6,2170
8,256,2.0,12.5,825
12,256,2.1,16.0,1190
64,256,2.4,13.3,1845
32,256,1.8,11.6,1350
12,256,1.7,11.6,840
8,256,1.6,10.1,710
8,128,2.3,16.0,950
8,1024,2.4,13.4,1485
32,1024,2.3,12.5,2020
8,256,2.1,11.6,825
32,128,2.5,17.3,1725
32,64,2.1,12.1,1535
16,64,2.5,16.0,1115
4,128,2.0,12.5,735
8,512,2.0,13.3,1025
32,2048,2.9,16.0,2645
12,2048,1.9,11.6,1765
16,1024,2.1,12.5,1615
16,512,2.0,17.3,1340
64,128,2.2,17.3,2085
16,1024,2.1,11.6,1555
32,64,2.4,12.5,1295
16,128,2.1,16.0,1260
32,512,1.9,13.4,1630
4,2048,2.4,12.1,1785
16,1024,2.2,13.4,1750
64,256,2.4,16.0,2420
8,512,2.1,10.1,1000
12,64,2.2,12.5,740
4,256,2.2,13.3,825
32,2048,2.8,17.3,2805
16,1024,1.9,14.0,1555
16,1024,2.1,13.4,1705
32,128,2.2,14.0,1370
12,256,2.0,11.6,960
16,128,2.3,17.3,1190
8,128,2.3,17.3,1180
4,256,2.1,11.6,715
4,64,2.1,12.5,625
64,2048,2.6,15.6,3205
64,1024,2.6,17.3,3260
4,256,1.9,10.1,745
64,128,2.6,13.4,1980
4,1024,1.8,16.0,1500
16,64,2.0,13.4,795
64,2048,3.0,11.6,3330
12,1024,2.4,15.6,1615
16,128,2.2,13.4,875
32,1024,2.1,16.0,2615
8,1024,2.0,15.6,1535
8,64,2.2,15.6,830
12,2048,1.8,12.1,2185
12,256,2.4,16.0,1085
64,256,2.6,16.0,2435
12,1024,1.9,11.6,1530
4,256,2.0,16.0,1075
16,128,2.0,13.3,940
12,1024,2.3,11.6,1550
12,1024,1.9,12.5,1670
16,256,2.2,13.3,975
16,2048,2.7,13.3,2015
12,128,1.8,12.1,895
8,1024,2.3,12.1,1545
16,64,1.9,12.5,955
64,1024,2.8,17.3,3190
4,1024,2.1,13.4,1385
4,64,1.9,15.6,710
8,64,1.7,10.1,645
32,128,1.7,13.3,1620
4,1024,1.6,13.3,1560
16,512,1.9,11.6,1160
4,256,2.2,11.6,680
4,256,2.0,15.6,785
4,2048,2.1,12.1,1880
12,1024,2.2,16.0,1900
4,512,2.0,13.4,970
12,1024,1.9,16.0,1840
32,256,2.3,17.3,1660
32,1024,2.6,17.3,2705
64,128,2.1,14.0,2125
12,1024,2.0,12.5,1435
16,256,2.1,17.3,1240
64,2048,3.0,15.6,3400
16,2048,2.7,13.4,2220
12,256,2.4,17.3,1120
32,1024,2.5,15.6,2400
32,128,2.4,12.5,1455
32,2048,2.6,17.3,2760
32,1024,2.6,13.3,2265
16,256,2.0,12.5,890
12,64,1.9,10.1,775
4,1024,2.1,11.6,1260
16,1024,2.0,15.6,1605
12,64,2.0,12.1,830
64,2048,2.6,13.3,2980
8,512,1.6,13.4,1085
4,64,1.7,17.3,1095
12,64,2.1,17.3,990
4,256,2.0,10.1,625
64,1024,2.9,14.0,2445
12,128,1.7,16.0,1155
4,64,2.2,15.6,690
8,512,1.9,12.1,1035
64,1024,2.3,12.1,2370
8,64,1.6,12.1,650
12,1024,1.6,10.1,1380
12,2048,2.4,12.5,2050
16,2048,2.8,15.6,2190
8,2048,2.3,10.1,1880
32,128,2.4,11.6,1485
64,64,2.0,12.1,1750
8,256,1.7,13.3,965
12,64,1.4,10.1,770
4,256,1.8,12.5,760
4,512,1.8,14.0,1005
64,64,2.3,13.4,2110
16,256,1.7,12.5,1010
64,64,2.4,14.0,1795
64,1024,2.4,11.6,2415
64,512,2.1,12.1,2130
8,64,2.2,16.0,1085
16,1024,1.7,10.1,1600
12,256,2.1,10.1,795
4,64,1.5,11.6,720
16,1024,2.1,13.4,1570
12,256,1.7,12.5,820
64,128,2.6,17.3,2300
8,512,2.1,14.0,1105
8,512,2.2,16.0,1280
4,128,1.9,17.3,1100
8,512,2.2,11.6,895
12,128,2.3,16.0,1115
8,64,2.0,12.1,810
32,256,2.4,12.1,1400
8,512,1.9,10.1,1000
64,512,2.3,12.1,2340
16,2048,2.4,13.3,1940
8,128,2.2,16.0,955
8,2048,2.4,10.1,2025
4,64,1.6,16.0,890
64,256,2.3,15.6,2060
12,64,2.0,12.5,760
32,64,2.2,14.0,1570
4,512,1.9,13.3,995
12,128,2.2,17.3,1005
64,512,2.5,10.1,2305
64,512,2.2,12.5,2160
32,1024,2.1,14.0,2110
64,64,2.0,12.1,2025
64,256,2.5,12.5,2040
32,1024,1.9,10.1,2195
16,1024,2.2,16.0,1705
32,2048,2.6,10.1,2625
4,512,1.6,11.6,810
8,1024,2.1,13.4,1350
16,256,2.0,13.4,915
32,512,2.2,13.4,1620
12,128,1.9,15.6,1015
4,2048,2.3,11.6,1745
8,512,1.7,15.6,1105
4,1024,2.0,13.4,1360
8,512,1.8,11.6,1050
8,256,1.7,12.1,885
4,1024,2.0,15.6,1335
16,512,2.5,17.3,1445
32,64,1.9,16.0,1770
16,512,2.2,13.4,1240
12,512,2.4,16.0,1445
32,64,2.1,12.5,1540
32,128,2.5,13.3,1620
16,256,2.1,11.6,925
12,2048,2.6,12.5,1910
32,128,2.4,12.5,1595
32,64,2.0,15.6,1345
64,256,2.2,12.1,2105
32,2048,2.4,14.0,2680
32,2048,2.5,13.3,2815
32,128,2.3,13.3,1505
4,1024,2.4,13.3,1380
4,64,1.6,16.0,895
8,128,2.1,13.4,725
64,128,2.6,12.5,2110
12,1024,2.1,14.0,1400
64,1024,2.4,13.4,2710
4,1024,2.0,16.0,1475
16,64,2.3,12.5,905
12,128,1.8,13.4,795
16,64,1.5,11.6,745
8,1024,2.5,15.6,1360
32,64,2.4,14.0,1600
12,64,2.1,11.6,795
32,512,1.9,10.1,1425
12,64,1.5,10.1,720
64,256,2.5,14.0,2030
4,64,2.2,15.6,820
16,2048,2.4,14.0,2275
4,512,2.0,11.6,865
4,256,2.0,10.1,705
4,512,2.2,16.0,1230
32,1024,2.3,13.4,1980
16,128,1.7,14.0,965
12,2048,2.6,13.3,1820
64,256,2.3,10.1,1860
12,2048,2.6,13.4,2225
12,256,1.9,15.6,915
12,256,2.4,15.6,955
32,256,1.7,12.5,1510
12,2048,2.1,12.5,2120
8,1024,2.2,13.3,1570
12,256,2.2,16.0,1265
4,256,2.2,12.5,790
4,64,2.0,11.6,585
64,256,2.3,12.1,1890
16,256,1.5,12.1,860
16,128,1.9,13.3,825
8,2048,1.9,13.4,2190
4,64,2.0,17.3,985
4,128,1.6,12.5,630
8,2048,2.6,17.3,2275
8,2048,2.6,17.3,2005
4,64,1.7,16.0,925
8,128,1.6,13.3,820
12,1024,2.6,15.6,1620
64,64,2.4,13.3,1740
8,128,1.8,13.4,710
12,1024,2.4,12.1,1365
12,1024,1.8,13.4,1535
8,256,2.0,15.6,970
16,256,2.3,15.6,1035
16,2048,2.3,13.3,2210
4,2048,2.1,13.4,1795
8,2048,2.3,16.0,1960
12,1024,2.2,12.1,1635
4,256,1.9,10.1,745
32,2048,2.5,11.6,2480
4,1024,1.8,13.4,1430
4,512,1.8,13.4,875
12,512,1.8,14.0,995
12,2048,2.2,14.0,1925
16,64,1.7,11.6,825
16,2048,2.4,15.6,1925
32,1024,2.0,11.6,2270
64,512,2.3,15.6,2145
64,2048,3.0,17.3,3555
12,2048,2.2,12.5,2140
12,2048,2.8,16.0,2310
4,64,2.2,13.4,770
4,2048,2.4,17.3,2280
12,2048,2.3,12.5,2165
16,512,1.9,10.1,1120
12,512,1.8,11.6,1080
64,512,2.6,17.3,2420
12,256,1.8,17.3,1145
12,1024,2.1,11.6,1415
16,1024,2.1,11.6,1575
16,2048,2.6,13.3,2100
64,64,2.8,13.4,1955
16,128,1.8,10.1,750
12,2048,2.0,10.1,2100
16,512,2.2,11.6,960
64,64,2.3,10.1,1900
32,1024,2.3,17.3,2700
64,256,2.7,11.6,2055
16,64,2.1,13.4,805
32,128,2.2,14.0,1505
16,2048,2.7,16.0,2635
8,512,1.9,11.6,930
4,512,1.8,11.6,880
64,1024,2.3,12.1,2565
8,256,2.0,16.0,1010
4,512,1.9,16.0,1170
8,512,2.3,12.5,1040
12,64,2.2,15.6,950
16,1024,2.3,13.3,1745
12,1024,1.8,13.4,1680
64,1024,2.8,16.0,2930
16,512,2.4,16.0,1235
32,64,1.7,12.1,1400
64,1024,2.6,12.5,2365
16,512,2.2,13.3,1120
4,1024,2.3,11.6,1380
8,64,2.3,16.0,1085
16,2048,2.0,13.3,2220
32,2048,2.3,14.0,2660
12,128,2.2,12.1,890
12,1024,1.7,13.3,1430
12,512,2.2,16.0,1185
32,512,2.3,12.1,1500
8,256,2.1,10.1,820
12,2048,2.5,12.5,1940
64,64,2.0,10.1,1700
12,2048,1.8,10.1,1910
8,512,1.6,10.1,955
12,256,2.2,12.1,965
16,128,2.4,15.6,1030
8,256,1.7,10.1,790
4,64,1.7,12.5,640
4,64,2.2,13.3,695
16,2048,2.2,13.4,1955
8,256,1.7,11.6,815
64,64,2.2,11.6,1845
64,64,2.8,13.4,1745
16,64,1.7,15.6,865
12,256,1.6,13.3,970
64,2048,3.0,16.0,3535
8,128,1.9,14.0,780
32,1024,2.4,11.6,1870
16,2048,2.2,15.6,2260
12,512,2.2,14.0,1085
16,256,1.5,12.1,900
8,1024,2.2,15.6,1355
32,512,2.6,15.6,1600
64,512,2.5,15.6,2080
8,64,2.4,17.3,1005
16,256,2.0,16.0,1230
12,128,1.8,10.1,745
16,2048,2.2,10.1,2155
4,256,2.1,13.3,865
12,1024,1.7,10.1,1325
8,1024,2.1,14.0,1545
8,1024,1.6,12.5,1385
16,1024,2.1,10.1,1590
16,128,2.2,17.3,1175
8,1024,1.8,13.4,1555
32,1024,2.3,12.5,2140
4,128,1.5,13.4,810
12,512,2.2,13.4,1105
4,512,1.9,14.0,870
64,256,2.1,11.6,2125
64,1024,2.7,17.3,2650
32,1024,1.9,12.1,2025
8,1024,2.3,15.6,1630
8,128,2.2,15.6,780
12,512,1.7,12.1,1105
64,64,2.8,13.4,1830
16,128,1.8,13.4,865
16,2048,2.9,16.0,2395
32,128,2.2,10.1,1515
16,2048,2.9,17.3,2420
8,256,1.9,10.1,720
64,64,2.4,14.0,2045
8,2048,2.1,13.3,2120
16,256,2.3,12.1,955
12,512,1.5,11.6,1005
16,2048,2.7,15.6,1935
32,64,1.8,14.0,1475
12,64,2.2,14.0,905
64,256,2.6,12.5,1935
8,1024,1.9,13.4,1310
8,256,2.0,16.0,1235
64,256,2.6,12.5,2160
12,256,1.9,10.1,870
32,64,2.5,16.0,1485
64,1024,3.0,17.3,2600
16,512,2.3,14.0,1045
12,2048,2.1,12.5,2235
16,2048,2.5,14.0,2270
32,128,2.5,16.0,1550
64,64,2.6,16.0,2125
32,512,2.2,14.0,1600
64,256,2.4,14.0,2015
12,512,2.0,11.6,1130
64,2048,2.4,12.5,3460
4,2048,2.2,17.3,2205
16,1024,2.0,13.3,1490
4,1024,1.7,15.6,1330
64,256,2.4,15.6,1970
32,64,1.7,12.1,1250
8,128,2.2,13.4,855
4,64,1.5,11.6,645
12,128,1.7,13.4,775
12,256,2.1,12.1,860
8,1024,1.8,15.6,1630
12,128,1.7,15.6,830
12,2048,2.7,16.0,2110
32,128,1.9,11.6,1360
12,512,1.6,12.5,970
4,256,1.9,12.1,785
64,128,2.2,16.0,2405
16,512,2.1,13.4,1080
8,256,1.9,17.3,1240
32,2048,2.9,12.5,2790
8,2048,2.3,13.3,2220
16,2048,2.2,12.1,1930
64,64,2.2,12.5,1730
8,128,1.8,13.4,900
16,64,2.1,12.1,820
64,2048,2.8,11.6,2840
64,64,2.0,12.5,1835
12,2048,2.3,17.3,2505
64,128,2.2,13.3,2020
12,256,2.2,15.6,965
16,2048,2.3,13.4,2330
16,64,1.7,15.6,860
12,64,2.3,13.4,900
4,128,1.6,14.0,730
16,128,2.4,14.0,1040
16,64,1.8,13.3,840
32,1024,2.1,15.6,2435
12,128,1.6,12.5,765
12,2048,2.2,14.0,2010
32,1024,2.2,10.1,1970
64,128,2.7,12.5,1805
32,2048,2.9,13.4,2550
12,256,1.6,13.3,855
32,64,2.1,12.5,1595
64,128,2.0,12.1,2165
16,256,1.8,15.6,1025
16,512,1.9,16.0,1405
16,256,1.6,13.4,1090
12,512,1.5,11.6,930
8,512,2.2,14.0,935
16,256,2.5,17.3,1250
8,256,2.1,16.0,1240
12,2048,2.3,16.0,2205
32,2048,2.7,12.5,2765
4,128,1.7,13.4,715
64,128,2.9,16.0,2370
64,64,2.1,11.6,2070
12,256,1.6,12.5,935
4,64,1.9,16.0,905
64,2048,3.0,16.0,3570
16,1024,1.9,16.0,1690
32,64,1.9,17.3,1710
4,128,1.5,11.6,665
16,256,1.7,11.6,1020
12,256,1.9,12.5,910
